"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"Erik Sabrowski","24978",216.014533333333,152.996,"REZ1",1.41189660731871
"Erik Swanson","16587",242.558117647059,187.87,"REZ1",1.29109553226731
"Erik Tolman","sa3021719",4.602,NA,NA,NA
"Eriq Swan","sa3023514",4.673,NA,NA,NA
"Eris Rodriguez","sa3017859",4.794,NA,NA,NA
"Ernesto Jaquez","sa3004869",4.704,NA,NA,NA
"Ernesto Mercedes","sa3018835",4.768,NA,NA,NA
"Ernie Day","sa3023004",4.876,NA,NA,NA
"Erubiel Armenta","sa3015125",4.682,NA,NA,NA
"Ervin Santana","3200",4.37,NA,NA,NA
"Ervin Torres","sa3018827",4.789,NA,NA,NA
"Esmerlin Vinicio","sa3014708",4.668,NA,NA,NA
"Estarlin Cruz","sa3021000",5.255,NA,NA,NA
"Estarlin Escalante","sa3018906",4.773,NA,NA,NA
"Estarlin Francisco","sa3023693",4.921,NA,NA,NA
"Estarlin Rodriguez","sa3004871",4.666,NA,NA,NA
"Esteban Luna","sa3024100",4.871,NA,NA,NA
"Estibenzon Jimenez","sa3015983",4.557,NA,NA,NA
"Ethan Bosacker","sa3023163",4.517,NA,NA,NA
"Ethan Chenault","sa3023445",4.636,NA,NA,NA
"Ethan Hammerberg","sa3019849",4.757,NA,NA,NA
"Ethan Hankins","sa3008589",4.399,NA,NA,NA
"Ethan Lindow","sa3005028",4.404,NA,NA,NA
"Ethan Pecko","sa3022997",195.18,NA,NA,NA
"Ethan Roberts","24930",158.946133333333,197.746,"REZ1",0.803789372899241
"Ethan Routzahn","sa3017206",130.1995,NA,NA,NA
"Ethan Small","26364",99.0671647058824,121.137,"REZ1",0.817810947158031
"Ettore Giulianelli","sa3015281",4.861,NA,NA,NA
"Eudry Alcantara","sa3019701",4.979,NA,NA,NA
"Eudrys Manon","sa3009631",4.517,NA,NA,NA
"Eudy Liriano","sa3021765",4.983,NA,NA,NA
"Euri Montero","sa3015989",4.771,NA,NA,NA
"Eury Perez","27768",285.961411764706,162.86,"REZ1",1.75587260079029
"Eury Ramos","sa873729",61.241,NA,NA,NA
"Eury Rosado","sa3016489",4.443,NA,NA,NA
"Evan Fitterer","sa3011433",244.7705,NA,NA,NA
"Evan Gates","sa3017311",137.1835,NA,NA,NA
"Evan Johnson","sa3010000",4.627,NA,NA,NA
"Evan Justice","30008",179.438764705882,159.909,"REZ1",1.12213049112859
"Evan Kravetz","27536",122.2135,NA,NA,NA
"Evan Lee","24988",4.496,NA,NA,NA
"Evan Marshall","12297",4.318,NA,NA,NA
"Evan McKendry","sa3010787",195.1765,NA,NA,NA
"Evan Miller","sa915725",4.397,NA,NA,NA
"Evan Phillips","17734",205.632941176471,233.054,"REZ1",0.882340321026331
"Evan Reifert","sa3014860",210.773428571429,NA,NA,NA
"Evan Shawver","sa3017780",110.2805,NA,NA,NA
"Evan Sisk","sa3007612",152.967728571429,NA,NA,NA
"Evan Taylor","sa3019950",4.562,NA,NA,NA
"Evelio Hernandez","sa3019487",4.841,NA,NA,NA
"Ever Moya","sa917836",4.826,NA,NA,NA
"Everhett Hazelwood","sa3017197",4.686,NA,NA,NA
"Eward Rodriguez","sa3018293",4.916,NA,NA,NA
"Eybersson Polanco","sa3018301",4.872,NA,NA,NA
"Ezequiel Bonilla","sa3018334",4.987,NA,NA,NA
"Ezequiel Jimenez","sa3022146",4.877,NA,NA,NA
"Ezequiel Ventura","sa3011859",4.733,NA,NA,NA
"Fabian Gallardo","sa3024091",4.894,NA,NA,NA
